model,date,position,executed_position,strategy_return,equity,drawdown
hist_gradient_boosting,2025/11/04,0.9618352999819028,0.9617257301382546,0.002441295819217414,167033.07991534084,0.0
hist_gradient_boosting,2025/11/05,0.9631076784782643,0.9618352999819028,0.011274743769195749,168916.33509236592,0.0
hist_gradient_boosting,2025/11/06,0.9639078820538869,0.9631076784782643,0.0011482763607424161,169110.29772689575,0.0
hist_gradient_boosting,2025/11/07,0.9603843554836313,0.9639078820538869,0.0011726568441197285,169308.6060749363,0.0
hist_gradient_boosting,2025/11/10,0.9573988603054266,0.9603843554836313,0.007588081583827307,170593.33359067704,0.0
hist_gradient_boosting,2025/11/11,0.954382245162493,0.9573988603054266,0.007733450381484231,171912.60867141254,0.0
hist_gradient_boosting,2025/11/12,0.9504133087422713,0.954382245162493,-0.0027156687456058952,171445.750973068,-0.0027156687456059148
hist_gradient_boosting,2025/11/13,0.950090829126012,0.9504133087422713,0.008659414826744956,172930.37085102662,0.0
hist_gradient_boosting,2025/11/14,0.943649240121341,0.950090829126012,0.008531971285561105,174405.807809529,0.0
hist_gradient_boosting,2025/11/17,0.9219760889109141,0.943649240121341,0.00807657993628286,175814.41025765467,0.0
hist_gradient_boosting,2025/11/18,0.8897976514722468,0.9219760889109141,-0.006883936701784472,174604.11498617943,-0.006883936701784332
hist_gradient_boosting,2025/11/19,0.888126655937385,0.8897976514722468,-0.0185013131515983,171373.70957726243,-0.025257887984747263
hist_gradient_boosting,2025/11/20,0.8695217946817809,0.888126655937385,-0.005608360256143225,170412.5840755215,-0.03072459290576257
hist_gradient_boosting,2025/11/21,0.87973153260827,0.8695217946817809,-0.04188074488941624,163275.57811590837,-0.07131856895786148
hist_gradient_boosting,2025/11/24,0.9039682738576419,0.87973153260827,0.01935144123535049,166435.19587098627,-0.053347244818688244
hist_gradient_boosting,2025/11/25,0.9392327573812087,0.9039682738576419,0.016047493640599694,169106.06361829786,-0.03815584075006018
hist_gradient_boosting,2025/11/26,0.9406593265985373,0.9392327573812087,-0.00922088083406996,167546.7567573549,-0.047024891123449986
hist_gradient_boosting,2025/11/27,0.9612591259384766,0.9406593265985373,0.01131239564970061,169442.11195961823,-0.03624445964752199
hist_gradient_boosting,2025/11/28,0.9563626659648806,0.9612591259384766,0.01684412458265326,172296.2160030139,-0.020010841258602752
hist_gradient_boosting,2025/12/01,0.9554414685436787,0.9563626659648806,-0.00017527048079289873,172266.01756239624,-0.02018260442962716
hist_gradient_boosting,2025/12/02,0.9554257807846909,0.9554414685436787,-0.0032634679519156287,171703.83293487722,-0.02338020709880051
hist_gradient_boosting,2025/12/03,0.9561168610125506,0.9554257807846909,-0.008452237988680396,170252.55127534302,-0.031634830012857273
hist_gradient_boosting,2025/12/04,0.9558022118682642,0.9561168610125506,-0.016728705673597535,167404.44645487872,-0.04783432592613546
hist_gradient_boosting,2025/12/05,0.9538643488406168,0.9558022118682642,0.016382555674453864,170146.9591190769,-0.03223541875931657
hist_gradient_boosting,2025/12/08,0.9537289050317733,0.9538643488406168,0.010342435952271222,171906.69314623968,-0.022226375560958078
hist_gradient_boosting,2025/12/09,0.9490216767803291,0.9537289050317733,-0.008027922768900724,170526.63949020454,-0.030075866703422882
hist_gradient_boosting,2025/12/10,0.9507560355346024,0.9490216767803291,-0.008935194127013341,169002.95086253234,-0.03874232712290304
hist_gradient_boosting,2025/12/11,0.9533992573619839,0.9507560355346024,-0.024620446542517375,164842.02274529368,-0.0624089202715582
hist_gradient_boosting,2025/12/12,0.9586671448876773,0.9533992573619839,-0.012235831423592487,162825.04354345825,-0.07388112666737956
hist_gradient_boosting,2025/12/15,0.9452235933850286,0.9586671448876773,0.005952778397397257,163794.30494521902,-0.06836814624478327
hist_gradient_boosting,2025/12/16,0.9436997165985662,0.9452235933850286,-0.017494788234953138,160928.75826611105,-0.0846668482391677
hist_gradient_boosting,2025/12/17,0.9377314700755157,0.9436997165985662,0.0006149564097380499,161027.72243751798,-0.0841039582504467
hist_gradient_boosting,2025/12/18,0.929772260484038,0.9377314700755157,0.016608104313996404,163702.08764920555,-0.06889266124829363
hist_gradient_boosting,2025/12/19,0.9269359942093205,0.929772260484038,0.023447130034060137,167540.43178516362,-0.04706086640091445
hist_gradient_boosting,2025/12/22,0.9430835415145531,0.9269359942093205,-0.0011983116488803551,167339.66613409697,-0.0482027844653804
hist_gradient_boosting,2025/12/23,0.9497961484473623,0.9430835415145531,-0.005866332477040935,166357.99601595735,-0.05378634338242816
hist_gradient_boosting,2025/12/24,0.9581610784865063,0.9497961484473623,0.009418772181433766,167924.88408099153,-0.04487417251578585
hist_gradient_boosting,2025/12/25,0.9668392891822547,0.9581610784865063,0.010721909457340573,169725.35948374233,-0.03463339987313263
hist_gradient_boosting,2025/12/26,0.9715400365719468,0.9668392891822547,-0.006243448736064706,168665.6879025954,-0.04066061675253385
hist_gradient_boosting,2025/12/29,0.9674394212402853,0.9715400365719468,0.003465030252568211,169250.11961374813,-0.03733647676710128
hist_gradient_boosting,2025/12/30,0.9652919729061304,0.9674394212402853,-0.00849699905332422,167812.00150761512,-0.04551622781268094
hist_gradient_boosting,2025/12/31,0.9625793453253104,0.9652919729061304,0.005124863462874926,168672.01510277338,-0.04062462880269124
hist_gradient_boosting,2026/01/05,0.9599129233947501,0.9625793453253104,0.012790768389126937,170829.45978168026,-0.028353480631473915
hist_gradient_boosting,2026/01/06,0.9563640619152638,0.9599129233947501,0.0030813786494468067,171355.85003174806,-0.025359469791882416
hist_gradient_boosting,2026/01/07,0.9561756036590184,0.9563640619152638,-0.004025776598968539,170666.0096605939,-0.029283154830800462
hist_gradient_boosting,2026/01/08,0.9541705291961522,0.9561756036590184,0.018639220307993257,173847.09101374383,-0.011189749697011475
hist_gradient_boosting,2026/01/09,0.9484621628502291,0.9541705291961522,0.011463698034970342,175840.0215693834,0.0
hist_gradient_boosting,2026/01/12,0.9488625382812069,0.9484621628502291,0.01428707617937526,178352.26135292815,0.0
hist_gradient_boosting,2026/01/13,0.9510482608181089,0.9488625382812069,-0.00020581075360067712,178315.5545396127,-0.00020581075360082135
hist_gradient_boosting,2026/01/14,0.9527040914583329,0.9510482608181089,0.0034939389192055236,178938.57819551835,0.0
hist_gradient_boosting,2026/01/15,0.9556903811403764,0.9527040914583329,-1.5001689171234782e-05,178935.89381458753,-1.5001689171123544e-05
hist_gradient_boosting,2026/01/16,0.9641162517413155,0.9556903811403764,-0.0013831352716058816,178688.40126849627,-0.0013981162114115042
hist_gradient_boosting,2026/01/19,0.9643335649166653,0.9641162517413155,0.01761686382561626,181836.33050086044,0.0
hist_gradient_boosting,2026/01/20,0.9634277367834688,0.9643335649166653,0.00118930332167191,182052.58905272573,0.0
hist_gradient_boosting,2026/01/21,0.9583069454904205,0.9634277367834688,0.010542323361960678,183971.8463154017,0.0
hist_gradient_boosting,2026/01/22,0.9489930909808656,0.9583069454904205,0.011645723409944509,186114.33155280768,0.0
hist_gradient_boosting,2026/01/23,0.9362285092128015,0.9489930909808656,0.007031800281120814,187423.0503617413,0.0
hist_gradient_boosting,2026/01/26,0.9294742335477393,0.9362285092128015,-0.006133973456924389,186273.4023456066,-0.0061339734569243465
hist_gradient_boosting,2026/01/27,0.9077582009155186,0.9294742335477393,-0.002317690346862503,185841.67827911297,-0.008437447152717659
hist_gradient_boosting,2026/01/28,0.91038916410987,0.9077582009155186,-0.01017140825541334,183951.40669846494,-0.018523034688507245
hist_gradient_boosting,2026/01/29,0.918680107562575,0.91038916410987,-0.004048015990253532,183206.7684627199,-0.02249606913815383
hist_gradient_boosting,2026/01/30,0.9312180207304902,0.918680107562575,0.012472526165663796,185491.81967609786,-0.01030412578344031
hist_gradient_boosting,2026/02/02,0.9386871949627169,0.9312180207304902,-0.012061005050256559,183254.60190220317,-0.022240852720584292
hist_gradient_boosting,2026/02/03,0.9603252578742912,0.9386871949627169,0.015916156771392586,186171.31087515777,-0.00667868484782197
hist_gradient_boosting,2026/02/04,0.9610475664819871,0.9603252578742912,0.009819964950410511,187999.5066227238,0.0
hist_gradient_boosting,2026/02/05,0.9540105687544644,0.9610475664819871,0.0014094961595212893,188264.4912053004,0.0
hist_gradient_boosting,2026/02/06,0.945548802278932,0.9540105687544644,0.008198721718057932,189808.01937808446,0.0
hist_gradient_boosting,2026/02/09,0.9346444874404678,0.945548802278932,0.015530217995069252,192755.7792962384,0.0
hist_gradient_boosting,2026/02/10,0.9221118594512367,0.9346444874404678,0.0016113727300266975,193066.38070255143,0.0
hist_gradient_boosting,2026/02/11,0.9106357102438427,0.9221118594512367,-0.001112506635384037,192851.59307295023,-0.0011125066353842028
hist_gradient_boosting,2026/02/12,0.9102591129413092,0.9106357102438427,-0.010054276617721422,190912.60981002657,-0.011155597803654271
hist_gradient_boosting,2026/02/13,0.9028449478186807,0.9102591129413092,0.0019359122497572786,191282.19986999093,-0.009241281812338409
hist_gradient_boosting,2026/02/24,0.8909861551803326,0.9028449478186807,0.020913868816375573,195282.65070497963,0.0
hist_gradient_boosting,2026/02/25,0.8823850834590965,0.8909861551803326,0.0038521305362599757,196034.9049669621,0.0
hist_gradient_boosting,2026/02/26,0.8640543363989555,0.8823850834590965,-0.0026842120660353647,195508.70570968566,-0.0026842120660354185
hist_gradient_boosting,2026/02/27,0.8230406231571836,0.8640543363989555,0.006167919872019771,196714.58774078527,0.0
hist_gradient_boosting,2026/03/02,0.8216816599871493,0.8230406231571836,-0.025896853019463206,191620.29897527787,-0.025896853019463095
hist_gradient_boosting,2026/03/03,0.84083452565926,0.8216816599871493,-0.021780919917251507,187446.63258877755,-0.0471137156549889
hist_gradient_boosting,2026/03/04,0.859738328641447,0.84083452565926,-0.005732834037180909,186372.03215331765,-0.05257645457944493
hist_gradient_boosting,2026/03/05,0.8783148353805033,0.859738328641447,0.01124262221834706,188467.34250288302,-0.04192492957751459
hist_gradient_boosting,2026/03/06,0.928238003033211,0.8783148353805033,0.030457419149543783,194207.57134949393,-0.012744435580928526
hist_gradient_boosting,2026/03/09,0.9145227210439458,0.928238003033211,-0.008234950217721823,192608.2816675262,-0.020874436006088293
hist_gradient_boosting,2026/03/10,0.9145255158219688,0.9145227210439458,0.023092919650426858,197056.16924008116,0.0
hist_gradient_boosting,2026/03/11,0.9019004909994874,0.9145255158219688,-0.007277678037227205,195622.0578851025,-0.007277678037227231
hist_gradient_boosting,2026/03/12,0.8795815402255981,0.9019004909994874,-0.012033966209805166,193267.94865062062,-0.019224064915446593
hist_gradient_boosting,2026/03/13,0.8548652746082205,0.8795815402255981,0.0005076299729056666,193366.05725415767,-0.018726193654093004
hist_gradient_boosting,2026/03/16,0.8610337475887707,0.8548652746082205,0.001971190426209149,193747.21857497087,-0.01679191612153419
hist_gradient_boosting,2026/03/17,0.8563324698247904,0.8610337475887707,-0.019185392151740317,190030.10220830113,-0.03565514877750364
hist_gradient_boosting,2026/03/18,0.85421148978369,0.8563324698247904,0.014411537902188302,192768.72822883277,-0.02175745640333049
hist_gradient_boosting,2026/03/19,0.8704046374775919,0.85421148978369,-0.025312521262048176,187889.26569688244,-0.04651924158756138
hist_gradient_boosting,2026/03/20,0.8921436489862096,0.8704046374775919,-0.031994114793861585,181877.91496164203,-0.07702501442594711
hist_gradient_boosting,2026/03/23,0.9145992731792336,0.8921436489862096,-0.05708645370704115,171495.1497888511,-0.12971438321267725
